¿Cuántos años cumplidos tienes? (anota el número);¿Qué son para ti los Derechos Humanos?;¿Cuáles derechos conoces?;¿Qué significa ser una persona?
12.0; igualdad, no te deben de excluir por tu nacionalidad, sexo,ect;Derecho a la vida, derecho a la identidad, derecho a no ser discriminado, ect;Una personas que existe y que tiene derecho a todo
10.0;Es el respeto del derecho de los individuos;Derecho de la salud,de ir a la escuela y derecho a la libertad;Ser alguien con vida,derechos,responsabilidades y sentimientos
17.0;Son una protección para la salud física e integral de una persona;Pacto de san José, cartamagna ;Parsima titular de derechos que desde la concepción hasta la muerte natural
10.0;;;
12.0;Son cosas que tenemos permitido hacer todo;Ir ala escuela ;Ser un humano
12.0;Son cosas que tenemos permitido hacer todos ;Ir a la escuela,;Ser un humano
16.0;Es el trato que todos merecemos por ser humanos y es algo que se nos tiene que respetar ;Derecho a la educación, salud, vivienda, familia, etc ;Para mi significa ser un ser consiente y tener una identidad 
13.0;algo q logra conseguir la libertad, justicia y paz para todos;derecho a no ser discriminado, libertad de exprecion, igualdad entre hombres y mujeres ahi varios q se ;ser alguien en la vida
;;;
14.0;;;
15.0;Son derechos que tenemos todas las personas que son la libertad de género, gustos, costumbres etc;Derecho a jugar, atención, hablar, expresarte más de 100 me se etc;Vivir, tener derechoss
;;;
16.0;;;
11.0;Son derechos que tienen los humanos;No conosco ninhuno;
;;;
17.0;Son aquellos que nos representa ante la ley como también nos identifica cómo seres humanos y nos ayuda atener una vida con más plenitud y libertad;Derecho a un hogar, Derecho a un trato justo, Derecho a una familia, Derecho a la vida, Derecho a la educación.;Alguien quien vive y siente y piensa
13.0;Los derechos humanos son los valores que tenemos cada persona ;Estudiar, derecho a la vida ;Ser una persona significa ser un ser humano con derechos y valores 
13.0;;;
13.0;;;
8.0;No sé;A dormir, a jugar videojuegos, a tomar agua y comer.;Pueden vivir, morir, amar, llorar, comer y tomar agua.
15.0;Derechos que se le deberían de dar a todas las personas por igual;Igualdad, familia, alimento ;
12.0;;;
15.0;Los derechos que tienen las personas ;El derecho a la salud ;Vivir y aportar algo en esta sociedad tan corrupta
14.0;Son los derechos q tenemos por ser personas;A la vida, a la salud, a la educación, a la libre expresión, a la familia;Que uno sea parte de una sociedad, que tenga propia manera de pensar
13.0;Los que todas las personas tenemos por igual ;El derecho ala educación,vivienda,salud,etc;Un ser humano que debe ser tratado por igual
;;;
14.0;He;A la salud, escuela y cuidado;Nunca me pregunté eso
14.0;;;
11.0;Son las cosas permitidas que tenemos nosotros los niños;El de la Educación, Salud, nombre, cuidados, etc.;No solo significa estar en un cuerpo con sangre,piel y carne si no que también tener sentimientos, derechos y obligaciones.
;;;
12.0;Son los derechos que todo ser humano tenemos ;El derecho de la mujer a no ser decriminado por tu color de piel ;Nose
14.0;Conjunto de cosas establecidas en un papel en el cuál legitamiza que podemos hacer ciertas cosas, como tener eduación;Derecho a la eduación, derecho a la vida, derecho a una vivienda, derecho a trabajar, derecho a un nombre, derecho a ir a una escuela, etx;Algo/alguien que tiene que cumplir con ciertas cosas 
11.0;Nos defienden de lo que nos hacen otras personas ;Mi mamá me platicó que a la vida a la salud a la escuela y a que no me discriminen ;Soy una persona porque viví y tengo derechos
15.0;J;Yu;
;;;
13.0;Son algo que todos en el mundo tenemos y que deben ser conocidos por todos los del mundo;Todos ;Ser una persona es un ser humano que está vivo
15.0;Lo que me da valor como ser humano;La mayoria;
15.0;Todo lo que tenemos derecho a hacer y bases para saber que actitudes no permitir.;Todos ;Ser un ser humano, tener derechos, obligaciones, respeto, educación, etc.
8.0;;;
13.0;;;
13.0;;;
;;;
13.0;son algo para proteger a las personas ;casi ninguno;un ser humano con ida independientemente de todo
12.0;;;
11.0;Es cuando todapersona tiene dercho sin tener distiguicion entre clor de piel sexo ;Derecho educación ect;
9.0;Valores y garantías que todos tenemos;A un nombre, a la libertad, educación, a una familia, salud, acceso a la tecnología, etc;Un individuo con derechos
8.0;Tener comida;Ir a la escuela, tener comida, tener casa;Ser bueno 
10.0;;;
;;;
9.0;Es lo que las personas tienen para recibir educación, ir al doctor y ser iguales;Igualdad, familia, educación, salud, tener un nombre, derecho a jugar;Ser parte de la civilización y tener respeto por todos
;;;
11.0;Lo que me protege de los adultos.;Derecho a un nombre y una nacionalidad.;Una persona es un ser vivo con valores y que piensa
12.0;Normas que nos protegen sin distinción de género etcétera. ;Derecho ala educación, derecho a recibir un nombre y nacionalidad etcétera ;Una persona es alguien cociente de si mismo una persona que puede decidir y tiene derechos y obligaciones debe dar y recibir respeto 
12.0;;;
10.0;Es algo que me protege de la violencia, la esclavitud y los maltratos;Derecho a la vida libre y sin violencia , Derecho a ir a la escuela ,derecho a una casa  ,un nombre ,derecho a comer ,derecho a no ser discriminad@ por mi sexualidad, discapacidad(física y emocional) ,por mi forma de vestir, derecho a la justicia  ,derecho al aborto ,derecho al conocimiento de los derechos sexuales y derecho a la no esclavitud;Significa un ser vivo que tiene derechos a la no violencia , a la libertad , a la no esclavitud ...
16.0;;;
14.0;Son derechos para salva guardar la dignidad de los humanos;Derecho a la vida, derecho al aborto,derecho a la vivienda, derecho a la identidad, derecho a la libertad de expresión, derecho a la salud digna, derecho a la educación, derechos sexuales y reproductivos  y derecho la diversidad sexual.;Tener responsabilidades y derechos 
14.0;Para mí son derechos para salvaguardar la dignidad humana.;Derecho a la vida, derecho al aborto,derecho a la vivienda, derecho a la identidad, derecho a la libertad de expresión, derecho a la salud digna, derecho a la educación, derechos sexuales y reproductivos  y derecho la diversidad sexual.;
11.0;Tener un derecho para nosotros ;Derecho a ir a la escuela,  podemos jugar, a comer  ;Que tienes derechos a hacer lo que hacen otras personas 
13.0;;;
17.0;;;
15.0;;;
15.0;Actos, cosas a las que debo tener acceso respetando a mi persona y a los demas;A tener un nombre, nacionalidad, educación, libertad, salud, jugar, a sentirme seguro y feliz, a tener un hogar ;Ser reconocido por mi familia y por mi país como una integrante más de ellos
;;;
16.0;Los derechos humanos para mi son mi aval como persona. Los que me defienden y dan acceso al gran mundo y sociedad por delante. Normas inapelables, nadie puede quitarlo, venderte u obsequiarte. Los obtienes desde el nacimiento. Me protegen y válidan.;A la nacionalidad, a un nombre, a un libre culto, a alimento, vivienda digna, estudio, hogar, libertad de expresión.;Ser una persona significa al ser humano (ser viviente) que tiene responsabilidades sociales, propias además de obligaciones de la misma manera. Alguien que existe ante la ley y sociedad, con integridad y dignidad y valores.
10.0;es algo para que todos vivamos en paz y armonía ;derecho la la igualdad, derecho a las niñas niños y adolescentes migrantes, derecho a estudiar , derecho a la identidad, derecho a vivir en familia etc.;Diciéndolo mientras hablo de derechos, seria ser parte de una comunidad y hacer lo que te toca hacer 
9.0;Son como una ley que hace que podamos acceder a varias cosas;Derecho a la libertad de expresión,acceso a tic’s, derecho a un hogar, derecho a la salud,derecho a la educación y derecho a jugar;Es ser alguien especial para algunas personas y que vivamos muchos momentos divertidos solos o con gente
14.0;Lo que nos protege;Derecho a un techo, a la educación, derecho a el habla, etc;No se me ocurre manera de describirlo
13.0;Los mandamientos que podemos dar a conocer si se presenta una injusticia ;El derecho a la salud , a una familia , a la educación ,etc no;Ser un ser vivo que debe ser tratado igual a los demás 
;;;
9.0;Lo que hace saber a un niño lo que puede hacer. ;Derecho a vivir, a tener una familia, a ser escuchado, a tener un hogar, derecho a jugar, derecho a la libertad, ;Tener derechos y que los demás me respeten.
13.0;Son cosas con las que nacemos todos solo por ser una persona;El derecho a la educación, a una casa, etc.;Un ser vivo que pertenece a la raza humana
13.0;Son cosas que tenemos desde el día que nacemos;Derecho a la educación, tener un hogar, etc;
16.0;Leyes o Norman que se suponen que deben proteger  algo /alguien ;Derecho a la educación, derecho a pensión alimenticia, derecho a la vestimenta y vivienda digna, derecho a ser respetada, derecho a información laica , derecho a servicios de salud, derecho a el juego, derecho a la privacidad, derecho a ir al doctor y no ser discriminada, derecho a que las autoridades investiguen mi caso en caso de violencias vividas ;La persona que se permite desarrollar después de cierto tiempo de embarazo que tiene conciencia y alma 
14.0;Son derechos para salva guardar la dignidad de los humanos;Derecho a la vida, derecho al aborto,derecho a la vivienda, derecho a la identidad, derecho a la libertad de expresión, derecho a la salud digna, derecho a la educación, derechos sexuales y reproductivos  y derecho la diversidad sexual.;Tener responsabilidades y derechos 
17.0;;;
;;;
11.0;son normas que reconocen y protegen la dignidad de todos los seres humanos.;Derecho a la salud. ...  Derecho a la educación. ...  Derecho a una familia. ...  Derecho a tener nacionalidad. ...  Derecho a la igualdad. ...  Derecho a no ser violentado. ...  Derecho a jugar. ...  Derecho a la alimentación.;Es un ser humano 
12.0;Son derechos para vivir en paz, ser felices y tener lo que merecemos y tener igualdad.;Ir a la escuela, vivir en una casa, poder comer saludable, tener tus gustos, etc.;Alguien que siente, que comete errores, que sea feliz, que tenga sentimientos, que viva la vida que quiera vivir.
14.0;;;
;;;
;;;
12.0;para mi son como lo que tenemos como humanos;Derecho a la vida, a la supervivencia y al desarrollo, derecho de prioridad, derecho a la identidad, derecho a vivir con una familia, derecho a la igualdad sustantiva, derecho a no ser discriminado, derecho a vivir en condiciones de bienestar y a un sano desarrollo integral, derecho a la educación;Ser persona es aceptarse a uno mismo como individuo que tiene dignidad y ademas respeta alos demas
9.0;Que pueda ir a la escuela, comida ropa ;Ir a la escuela, tener comida. No ser discriminado, tener casa y ir a la escuela;Ser libre 
8.0;LO QUE PUEDO;A QUE ME LLEVEN AL COLE A COMER ;
9.0;Lo que tenemos derecho a tener, saber,creer, etc;Ir a la escuela,ser tratado bien, no vivir violencia, tener una casa, ser respetado derecho de poder estudiar y saber;Ser respetado responsable tener derecho a una vida sana sana y sin violencia 
12.0;Los derechos que tenemos ;Derecho a una vida digna ala educación derecho a tener una familia;Ser un ser vivo
14.0;Los derechos que tiene la gente;Derecho a la salud, al hogar, alimentación, a estudiar;Nacer siendo humano
;;;
;;;
10.0;;;
15.0;;;
15.0;Los derechos humanos son derechos que tienen todos los humanos sin importar etnia, sexo, o nacionalidad etc.;Derecho a la vida, derecho a la igualdad, derecho a vivir en una familia, derecho a la libertad de pensamiento;Significa ser alguien q trabaja dia con dia para desarrollarse espiritual y economicamente 
16.0;La forma en que se ejercen nuestra libertad, democracia y derechos que tenemos como cuidadanos mexicanos;Derecho ala escuela,ala salud , seguridad;Ser humano que tiene conciencia propia como yo ,tu o otras personas
16.0;Son que las personas puedan tener claros sus derechos y que se den a respetar ;Derecho a la vida, a la escuela, de comer, de tener una familia ;Tener derecho a vivir y a ser respetada 
14.0;Los derechos soy ;Conozco casi todos;Es tener derecho va 
12.0;Una norma de derecho que nos deben regir hasta los18 años;Derecho a la salud, educación ,libre expresión ,derecho a la vida ,derecho a una vivienda digna ,;Ser un ser vivo que tiene derecho a vivir libremente
9.0;Son cosas que nosotros debemos y tenemos la libertad de hacer;Derecho de ir a la escuela, derecho a comer, a tener amor, a tener abuelos, tener una salud, tener una convivencia ;Tener vida 
16.0;Con los que todas los seres deben ampararse ;Libertad, vivir en una casa digna, comer, vestir ;Es un ser humano con derechos 
13.0;Los derechos son los que tenemos desde el momento en que tenemos vida osea desde la concepción y se deben respetar;Derecho a la vida desde la concepción Derecho a la educación Derecho a una familia Derecho de participación ;
15.0;;;
14.0;;;
9.0;No se;Vivienda, comida, a la vida, educacion;Tener derechos
16.0;;;
15.0;Algo que no saben respetar ;No tengo derechos soi mujer xd;Una mierda no soy feliz en ningún aspecto 
8.0;Cosas buenas para las personas;Ir a la escuela, tener familia, tener un nombre;No se
16.0;;;
15.0;;;
11.0;;;
8.0;Algo que tengo derecho, por ejemplo bañarme.;Jugar, ir a la escuela, a la salud y a tener un nombre y opinar.;Un individuo que tiene derechos y obligaciones
8.0;;;
;;;
;;;
15.0;;;
16.0;Derechos que dan libertad a mi y a los demás;Expresión, educación, derecho a la vida, a una vivienda, a una familia, derecho a la salud.;Ser un ser vivo con dignidad
15.0;Las libertades necesarias e importantes que todos los humanos tenemos ;Derecho a la vida, identidad, vivir en familia, igualdad, a no ser discriminado, vivir en buenas condiciones y tener un buen desarrollo,educación;Ser un ser humano con valores, sentimientos y habilidades positivas y humanas. 
;;;
;;;
;;;
11.0;Que cada persona elige su personalidad, lo que quiere hacer, lo que quiere estudiar. ;Educación, recreación ;Alguien que puede estudiar, aprender, hacer mandados, ayudar a personas.
15.0;No sabría describirlo;Estudio, hogar, familia, comida, libertad, etc.;Un ser vivo con necesidades y sentimientos 
14.0;;;
8.0;Derecho ;Salud ;Ser 
16.0;Responsables;Respeto honestidad;Ser humano
17.0;Es algo que nos protege, muy pocas veces los respetan pero se supone que están para protegernos ;Derecho a la vida digna, educación, atención médica, opinar;Tener empatía
14.0;;;
13.0;;;
13.0;;;
;;;
14.0;Son las cosas que los seres humanos tenemos libremente;A la educación, la comida, a un techo y otros;Ser alguien en la sociedad y en la vida, aunque todos somos personas
14.0;Son leyes que nadie puede quitarte, ni mucho menos volar. ;Derecho a la salud, a la integridad, a la vivienda. ;Significa respirar y ser autoritaria de lo que uno hace. 
14.0;Derechos que nos permiten ser libres en cierto punto;Al estudio, a tener un vivienda, a la vida, a los alimentos;Un ser vivo, con derechos y libertad
;;;
17.0;Los supuestamente nos protejen;Educación,salud,derechos de elegir lo que me justa y según que la ley nos proteje.;Pues un ser humano con derechos 
15.0;Normas que reconocen y protegen la dignidad de todos los seres humanos ;Derecho a la identidad-Derecho a vivir en familia-Derechi a no ser discriminado-Derecho a vivir en condiciones de bienestar-Derecho a la libertad religiosa e ideologica-Derecho a la intimidad-Derecho a libertad de expresión- Derecho al trabajo-Derecho a votar y/o ser votado, etc. ;
17.0;;;
12.0;;;
14.0;;;
15.0;;;
16.0;Son derechos que nos protegen como seres humanos;#¿NOMBRE?;Ser un humano
;;;
14.0;;;
15.0;;;
;;;
14.0;Son cosas a las q las personas tienen total y obligatorio acceso por que son por y para el beneficio propio de cada persona de la sociedad.;Derecjo a la educacion, derecho a la libertad de expresión, derecho a los servicios de salud, derecho a la vivuenda, etc.;Ser una persona no solo significa vivir, ser una persona es mas allá de tratar de sobrevivir en esta sociedad, ser una persona conlleva el tener derechos y obligaciones. 
13.0;Son reglas de los humanos ;De los humanos,de los niños,de la mujer,y del hombre,;La verdad no se 
10.0;Son todas las cosas que puedo hacer libremente;Derecho a la vida, al estudio, a la salud, a la recreación, a la seguridad, a vivir dignamente;Ser viviente que siente y piensa
14.0;Son los derechos que tienen todas las personas, sin importar quien sea y como sea ;Derecho a la vida, a una identidad, una vivienda digna...;Tener derechos, usar el razonamiento, la voluntad y el sentimiento para la dwfinicion de nuestro camino esxistencial como personas
17.0;;;
16.0;;;
;;;
10.0;Pues los que nos inculcan como niños ;A tener una vivienda y derecho a tener estudio ;Pues ser alguien en la vida
14.0;Son leyes que ayudan a cada uno dependiendo su edad? ;Derecho a estudiar;Aaa no tengo un consepto en claro
15.0;;;
;;;
;;;
14.0;Gozar de ciertas cosas.;Derecho a resivir educación. Derecho de vivir. Derecho de opinar. Derecho a tener una vida digna. Derecho a amar aquien yo quiera.;Un ser, independiente que tiene ideas y una manera de pensar propios. Cada persona tiene un valor.
15.0;Es una ley que nos ayuda a tener cierto poder ;Ala educación ;Ser alguien libre 
13.0;Algo que nadie cumple;Amistad;Ser un algo que no respeta a los animales, alas demás personas y sobre todo al medio ambiente
10.0;Tener el derecho de expresar lo q siente uno  ;a la educación y y a la salud ;Ser una persona humilde y y ser tratada con respecto 
10.0;Son cosas que defienden a las personas y son cosas que podemos hacer;Escuela, salud, a jugar , ;Tener derechos obligaciones y amigos
15.0;;;
15.0;Pues es algo que nos permite tomar decisiones o decidir sobre algo algo ;Pues no sé cómo expicar bien, pero por decir si estamos afiliados con el seguro social tenemos derecho a medicamentos gratuitos ;Ser una persona significa que puedes ser tratada como cualquier otra tener derecho de todo 
;;;
15.0;;;
13.0;Son los derechos que ejercen las personas una vez que nacemos ;Libertad,ir ala escuela etc;Ser uno
;;;
16.0;Algo importante para mantener el orden de cada persona en este mundo;Derecho a la vida, a la salud, elegir, estudiar, trabajar etc;Existir, tener slgo me la vida supongo
17.0;Son los que garantizan una vida digna hacia las personas;A la educación, salud, vivienda digna, alimentación, Libertad de expresion;Ser uno mismo, Contar con una entidad propia
8.0;;;
17.0;;;
;;;
13.0;;;
14.0;Unos beneficios que tenemos al nacer para tener una vida digna ;Derecho a la salud , derecho a la educación , derecho a tener una familia etc...;Desde que nacemos somos personas por lo tanto la respuesta es serlo todo 
13.0;Son derechos inherentes hacia todos los seres humanos , sin distinción a alguna nacionalidad , lugar de residencia , religión , lengua , etc…;Derecho a la identidad , derecho a no ser discriminado ,derecho a vivir en familia ;Ser conscientes  de lo que hacemos, tener un nombre ,ser caracterizados por el uso de la libertad  
14.0;Para mi los derechos humanos son derechos que tenemos todos de hacer lo que nosotros queremos obvio cosas legales, los derechos no son para una persona en especifico son para todos y todos los tenemos no importa el color de piel, nacionalidad, religión, sexo, lugar en donde vive, lengua o entre otros. ;Libertad de expresión, derecho a la decisión, derecho a trabajar e ir a la escuela, libertad de pensamiento, seguridad social ;Ser una persona es como ser alguien normal, alguien que tiene su vida, familia, trabajo y que vive una vida normal y que tiene derecho a decidir y elegir que quiere ser. 
14.0;Un conjunto de leyes que garantizan nuestro bienestar ;Derecho a la educación, salud, vivienda,etc.;Ser un ser con capacidad de desarrollo y pensamiento 
8.0;Son derechos que tienen los niños, niñas, adultos, adolescentes y abuelitos.;Derecho a jugar, ir a la escuela, buena salud, que nuestros padres nos protejan, y que los padres, justicia nos protejan de los malos que nos quieran hacer daño.;Que tengamos vida, tengamos familia, a ser cuidados, somos parecidos a nuestros padres.
13.0;Son los que nos protejen;El de la educación ;Un humano
13.0;Lo que cada ser merece;Vivienda, nombre, familia, salud, comida, educación ;Ser un ser vivo, respirar, vivir 
;;;
13.0;Son un conjunto de cosas que hacen que la gente se trate bien ;Pues varios;Ser un conjunto de sangre, piel, órganos, hormonas, etc
16.0;Los derechos que tenemos al nacer y que se deben salvaguardar;A la salud, familia, escuela;Tener sentimientos, emociones.
16.0;Los derechos humanos son derechos inherentes a todos los seres humanos, sin distinción alguna de nacionalidad, lugar de residencia, sexo, origen nacional o étnico, color, religión, lengua, o cualquier otra condición. .;"Derecho a la vida, a la supervivencia y al desarrollo; Derecho de prioridad; Derecho a la identidad; Derecho a vivir en familia; Derecho a la igualdad sustantiva; Derecho a no ser discriminado;";Maravilloso 
15.0;;;
13.0; que todos tenemos derecho de expresarnos,entre otras cosas;Igualdad, expresión, la escuela, recibir un trato digno por parte de mis mayores;Para mí, lo más importante de ser una persona es poder tener derechos
15.0;Son los derechos que tenemos por el simple hecho de ser seres humanos ;Derecho a la educación, vivienda, alimentación, educacion entre otros ;Ser un ser humano 
12.0;Cómo leyes que nos cuidan;Derecho a la vida, a la vivienda, a la salud, que podemos expresarnos, a la educación;Alguien individual
9.0;;;
13.0;Es algo que tenemos todos los seres humanos sin distinción alguna;Derecho a la educación, derecho a una vivienda, derecho a una familia, derecho abun nombre ;Tener una identidad unica
16.0;;;
14.0;Que tengo derechos ;No deve trabajar  un menor,derecho a ir a la escuela, derecho a tené una familia ;
11.0;Algo que una persona tiene derecho a hacerlo;Derecho a la igualdad,derecho a la educación,derecho a una vivienda,etc.;Ser un ser humano que tiene derechos y ser feliz
15.0;;;
11.0;Son los derechos que tienen todas las personas;Derecho a la vida , derecho a la identidad , derecho a la igualdad ;Un ser vivo con sentimientos , derechos y pensamientos 
15.0;.;Æ;Ser tu misma Bv
11.0;Algo bueno;El derecho a ir a la escuela,a tener una vida digna y ya;Estar vivo/a/e
13.0;;;
13.0;Normas que protegen la dignidad de los seres humanos;Derecho a la vida, supervivencia, desarroyo, identidad, igualdad, a no ser discriminado, escuela, expresión. ;Un ser capaz de vivir en sociedad, que cuenta con inteligencia y es capaz, con voluntad propia.
10.0;Los derechos que cada persona tiene al nacer;Educación, vestido, comida, respeto etc.;Significa tener la capacidad de amar y respirar
14.0;Los derechos que tiene una persona por el simple hecho de haber nacido;Educación, libertad de expresión, etc;Estar vivo 
13.0;El derecho a ser yo misma ;A la salud, a ser amada y cuidada por mis padres, a ser feliz, a ser libre ;Ser un individuo con derechos y obligaciones 
17.0;Son garantías individuales;La justicia libertad igualdad derecho a una vida digna;Alguien con derechos 
17.0;;;
;;;
15.0;;;
;;;
13.0;"Es algo que todos deberiamos tener por igual, pero muchos los ven como privilegios y no es asi, asi mismo minimizan a otros por ser ""raros"" y no, no son raros son diferentes pero a fin de cuentas todos somos iguales. En si todos tenemos derechos, pero no siempre los cumplen correctamente";Derecho a la Educacion;Una persona es un ser vivo que independientemente de como sea deberia recibir derechos
15.0;Los derechos humanos son los que nos dejan elegir ;No me acuerdo ;Ser una persona significa que siempre debes ser auténtica
12.0;Es como debo ser respetado y como debo respetar a los demas;Al estudio alimento salud casa digna y trato dogno;Ser un individuo con pensamiento y sentimientos diferentes por qué somos únicos
13.0;;;
17.0;;;
15.0;Pues todos los derechos que tenemos al nacer y son para siempre, conforme crecemos van cambiando o agregándose más;Libertad de expresión, derecho al voto;Aquella que nace del ser humano, que tiene derechos y obligaciones
16.0;;;
14.0;Cosas q tenemos por ley;Derecho ala vida  derecho a peticion;Nose
;;;
15.0;Libertad de una persona;Muchos;Un ser vivo
16.0;Son leyes que se nos deben hacer cumplir a todas horas ;Derecho a la educación, derecho a tener una vivienda, derecho a la igualdad, derecho a la expresión ;Es un ser vivo que piensa por si solo 
16.0;;;
16.0;Libertad de expresión;La vida, estudios, casa y comida;La que da vida 
15.0;;;
16.0;;;
17.0;;;
15.0;Las cosas que pueden hacer los niños y adolescentes;El derecho a la vivienda, a la familia, a poder expresarte y otros..;Ser alguien, eeeh un ser vivo qu macio para ser alguien? No lo sé :l
15.0;Acciones que libremente podemos hacer sin ser juzgados o castigados;Derecho a la libre expresion, derecho a la educación etc;existir
15.0;Derechos que tenemos todos los seres humanos para ser respetados y tener una mejor vida.;Derecho a la libertad de expresión, derecho a la educación, derecho a no ser discriminado, derecho a la libertad, etc.;Un ser que usa la razón, voluntad y sentimientos para forjar su camino.
15.0;;;
12.0;;;
8.0;Es por lo que puedo ir a la escuela;Derecho a la salud y escuela;Tener un cuerpo y ser como yo quiera
;;;
13.0;Los derechos humanos son leyes que apollan a cada ser humano;No sé no me acuerdo;Pues tener derechos e obligaciones y ps ser sin humano
13.0;;;
15.0;Son principios que defienden nuestra integridad, salud (fisica y mental) cómo seres humanos;El derecho a tener nombre, al de la educación, al del respeto, etc. ;Es ser un ser humano
;;;
12.0;Algo que tenemos derecho de hacer ,opinar y que nos protege ;A la educación, libertad, libertad de expresión,a ser tratados con respeto ;A ser tratada con respeto y dignidad,sea cual sea la condición social
;;;
15.0;Son aquellas cosas que desde que un ser humano nace tiene, son básicas para su sano desarrollo y su integridad, protegiéndolo y apoyándolo. ;Derecho a la vida, a la libertad, a la educación, a la familia, al juego, etc etc ;Una persona o ser humano es desde que el bebé nace se convierte en un ser humano y por lo tanto poseedor de los derechos humanos 
15.0;;;
13.0;Los derechis;A la salud,vivienda, alimento;Que piedes decidir
16.0;;;
;;;
12.0;Algo importante para la vida;Igualdad de género;Ser un ser vivo no muy diferente a los anymales pero seguir siendo lo mismo
;;;
13.0;El derecho que tienen todas las personas sin importar su género, orientación sexual o religión a hacer o recibir algo;Derecho a recibir un nombre, derecho a tener una vivienda, derecho a tener una dieta sana, derecho a la educación, derecho a la atención médica, derecho a preguntar lo que pasa con mis impuestos, derecho a expresar mi opinión, derecho a ser respetado y derecho a vivir plenamente.;Ser un ser viviente y conciente, con la inteligencia suficiente para hacer cosas que otros animales o seres vivientes no pueden
11.0;;;
17.0;Es  un privilegio con el que todos contamos sin importar nuestros orígenes, cultura o color de piel;igualdad ante la ley ;Ser un individuo independiente que goza de derechos humanos desde el momento de nacer 
15.0;;;
14.0;Son normas que protegen a todas las personas;Derecho al estudio, derecho a la libertad, derecho a la vida, derecho a no ser discriminado, derecho a una familia;Ser un humano con racionamiento
14.0;No recuerdoo;La verdad no se;Ser alguien
14.0;Los derechos humanos para mi son que todos y todas seamos tratados por igual y sin discriminar a otras personas por su orientación sexual ,religión o distintas maneras de pensar ;Derecho a la vida ,derecho al estudio ,derecho a la prioridad, igualdad y a no ser discriminado;Ser una persona significa tener responsabilidades entender a los demás aceptarte tu mismo como también aceptar a los demás y trabajar duro para poder sacar adelante el desarrollo integral 
16.0;;;
15.0;Son las cosas que tenemos que tener todo sin importar qué ;A la educación, al alimento, a una vivienda ;No lo sé 
17.0;Que cada persona sin discriminar,pueda tener más libertad entré otras cosas ;No recuerdo por el momento;Ser persona es reconocernos como seres caracterizados por el uso libre de la razón, la voluntad y el sentimiento en la definición de nuestro camino existencial
12.0;Son libertades que obligatoriamente debemos tener;Derecho a la familia, a estudiar y a la salud;Que esta hecha y derecha 
15.0;Son derechos que todos como seres humanos tenemos y no tiene distinción alguna ;Libertad, Libertad de expresión, derechos auna vida digna , derecho a servicios , etc…;Ser un ser humano 
14.0;es a lo que tenemos derecho/podemos exigir por el simple hecho de existir, se nos deben respetar sin distinción ;Derecho de Libre expresión, a la identidad, seguridad, estudio, no ser discriminados, a una convivencia sana, a un techo, etc  ;ser un individuo en una sociedad que pueda vivir dignamente, en un ambiente sano y en dónde nos respeten como individuo de la sociedad
15.0;Un forma de protegernos.;Alimentación, familia y vivienda;Ser alguien consciente
15.0;Derechos que protegen la vida , algo básico ;Derecho ala vida , derecho a un nombre , derecho a libre expresión  , derecho al libre recreo   derecho a un hogar ;Nose
;;;
15.0;;;
15.0;;;
;;;
13.0;los derechos humamos son los derechos que cada individuo en la tierra tiene;El derecho a vota, a ser respetado, a tener un trabajo y una casa con luz y agua...;Las personnas son los sereres humanos
;;;
14.0;;;
13.0;Son nuestra defensa ante la injusticia;Derecho a la salud, a la alimentación, a la familia, a la información, a las creencias, a la cultura;Un ser vivo con derechos igual que todos los demás 
14.0;;;
14.0;Son los cuales no ayudan a tener un a mejor armonía me refiero a que son como reglas que tenemos que obedecer para ganarnolas y que sean respedadas;Derecho a la vida , a un hogar a tener una familia , tener comida ir a la escuela derecho a la salud etc.;Significa que que tiene vida , salud, vestimenta que tiene muchas oportunidades para estudiar salir adelante y cambiar el mundo si es que te lo propones
15.0;Pues que todos somo iguales ;Confiansa;No pues wur vales mucho como persona y que una persona es igual que todos 
;;;
15.0;es todo aquello que nos permite hacer nuestra vida con felicidad siendo uno mismo;"derecho a la educación; a la alimentación; a la salud; a la salud sexual; a ser uno mismo sin importar religión, orientación, género o grupo social";ser parte de la sociedad, participar en pequeñas cosas como en la escuela o incluso tomando decisiones pequeñas como qué comer
;;;
17.0;Libertad, expresión, paz, felicidad, justicia, igualdad, equidad.;Derecho a la educación, derecho a la salud, derecho a la protección, derecho a no ser discriminado, derecho a un hogar. ;Ser una persona es poder desarrollarme tanto física, mental y culturalmente. Ser libre y sentirme protegida, apoyar y sentir empatía por los que nos rodean. Tratar de mejorar no solo para mí sino también para los demás y así enseñar a los que nos rodean a ser nosotros mismos y aplicar lo que mejor sabemos hacer para el bien de nuestra comunidad. 
16.0;algo básico que como los valores se debe enseñar desde que eres pequeño y también es algo que deberías tener para decidir sobre tu cuerpo;aborto, vida, libertad, hogar, estudio ;tener derechos, ser respetado, etc.
15.0;Son cosas que se nos permiten para tener una vida digna;Los básicos, como el de la salud, el del hogar, el del respeto ;
14.0;;;
14.0;Pues lo que tenemos derecho a no discriminarnos a la educación etc;Derecho a la libertad de expresión a la salud a la educación derecho a recibir un trato digno etc;Es ser alguien desde tu alma es la esencia de la vida donde pies una persona es alguien que a pesar de sus diferencias lo tienes que aceptar 
17.0;Los que me protegen ;Todos;Un ser vivo 
15.0;;;
15.0;;;
15.0;son los derechos que garantizan que tengamos una buena calidad de vida ;a la educación, a un hogar;que tenemos vida
